Date,Visitors,PageViews,Source,Page,Conversions,BounceRate,SessionDuration
2026-01-01,1200,3500,Google,Home,45,42.5,185
2026-01-02,1350,3900,Direct,Products,52,40.2,192
2026-01-03,1100,3200,Facebook,Blog,38,48.6,160
2026-01-04,1600,4500,Google,Products,65,38.4,210
2026-01-05,1450,4100,Instagram,Blog,55,44.1,175
2026-01-06,1750,4900,Google,Home,72,36.5,225
2026-01-07,1900,5200,Direct,Products,80,34.8,238
2026-01-08,1550,4300,Instagram,About,60,41.5,190
2026-01-09,2100,5800,Google,Products,95,32.6,250
2026-01-10,2250,6100,Direct,Home,105,30.8,265
2026-01-11,2000,5500,Facebook,Blog,88,35.2,230
2026-01-12,2400,6500,Google,Products,110,29.5,275
2026-01-13,2600,7000,Google,Home,125,27.8,290
2026-01-14,2300,6200,Facebook,Blog,100,31.4,255
2026-01-15,2800,7500,Google,Products,135,26.5,305
2026-01-16,2500,6800,Direct,Home,120,28.9,285
2026-01-17,2200,6000,Instagram,Blog,92,33.7,240
2026-01-18,2900,7800,Google,Products,145,25.8,315
2026-01-19,3100,8300,Direct,Home,155,24.9,325
2026-01-20,2750,7400,Facebook,Products,130,27.2,300
2026-01-21,3200,8600,Google,Home,165,23.5,335
2026-01-22,3000,8100,Direct,Products,150,25.4,320
2026-01-23,2850,7700,Instagram,Blog,125,29.1,290
2026-01-24,3350,9000,Google,Products,180,22.8,345
2026-01-25,3500,9400,Direct,Home,190,21.9,355
2026-01-26,3150,8500,Facebook,Blog,160,25.6,325
2026-01-27,3600,9700,Google,Products,200,20.7,365
2026-01-28,3400,9100,Direct,Home,185,22.4,350
2026-01-29,3250,8700,Instagram,Products,170,24.3,330
2026-01-30,3800,10200,Google,Products,215,19.8,380
2026-01-31,3950,10600,Direct,Home,225,18.9,395
2026-02-01,3700,9900,Google,Products,210,20.2,375
2026-02-02,4000,10800,Direct,Home,230,18.5,400
2026-02-03,3850,10300,Facebook,Blog,205,21.6,360
2026-02-04,4200,11200,Google,Products,245,17.9,415
2026-02-05,4100,11000,Instagram,Products,225,19.8,390
2026-02-06,4400,11800,Google,Home,260,16.8,425
2026-02-07,4550,12100,Direct,Products,275,16.2,440
2026-02-08,4300,11500,Facebook,Blog,245,18.7,405
2026-02-09,4700,12500,Google,Products,290,15.5,450
2026-02-10,4900,13000,Direct,Home,305,14.9,465
2026-02-11,4600,12300,Instagram,Blog,270,17.2,430
2026-02-12,5000,13400,Google,Products,320,14.2,480
2026-02-13,5200,13900,Google,Home,335,13.8,495
2026-02-14,4950,13200,Facebook,Blog,300,15.6,460
